,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,11,4,11,4,22,8
AYOPAYA (V. DE INDEPENDENCIA),leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,1,0,2,0,3,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,3,1,2,1,5,2
CAIROMA,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,0,0,1,1,1,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,1,0,4,2,5,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,3,2,13,6,16,8
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,0,1,0,2,0,3
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,7,1,8,4,15,5
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,1,0,0,0,1,0
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,1,0,0,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,0,1,0,0,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,1,2,2,2,3,4
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,1,1,1,0,2,1
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,4,0,5,1,9,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,0,0,1,1,1,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2021-01-01,0,0,1,2,1,2
