,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-01-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-01-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-02-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-02-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-02-01,0,0,1,0,1,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-03-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-03-01,0,0,1,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-03-01,1,0,0,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-03-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-03-01,26,5,0,0,26,5
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-03-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-04-01,1,0,0,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-04-01,0,0,1,0,1,0
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-04-01,0,1,0,0,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-04-01,0,0,1,0,1,0
