municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicios,vaginales,2013-01-01,7,7
ACHACACHI,atencion de partos en servicios,vaginales,2013-01-01,32,32
ACHOCALLA,atencion de partos en servicios,vaginales,2013-01-01,7,7
AIQUILE,atencion de partos en servicios,vaginales,2013-01-01,35,35
ALALAY,atencion de partos en servicios,vaginales,2013-01-01,1,1
ALCALA,atencion de partos en servicios,vaginales,2013-01-01,8,8
ALTO BENI,atencion de partos en servicios,vaginales,2013-01-01,16,16
ANCORAIMES,atencion de partos en servicios,vaginales,2013-01-01,5,5
ANTEQUERA,atencion de partos en servicios,vaginales,2013-01-01,1,1
ANZALDO,atencion de partos en servicios,vaginales,2013-01-01,3,3
APOLO,atencion de partos en servicios,vaginales,2013-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,vaginales,2013-01-01,1,1
ARANI,atencion de partos en servicios,vaginales,2013-01-01,8,8
ARBIETO,atencion de partos en servicios,vaginales,2013-01-01,12,12
ARQUE,atencion de partos en servicios,vaginales,2013-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2013-01-01,59,59
ATOCHA,atencion de partos en servicios,vaginales,2013-01-01,7,7
AYATA,atencion de partos en servicios,vaginales,2013-01-01,2,2
AYO AYO,atencion de partos en servicios,vaginales,2013-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2013-01-01,15,15
BATALLAS,atencion de partos en servicios,vaginales,2013-01-01,7,7
BAURES,atencion de partos en servicios,vaginales,2013-01-01,7,7
BELEN DE URMIRI,atencion de partos en servicios,vaginales,2013-01-01,1,1
BERMEJO,atencion de partos en servicios,vaginales,2013-01-01,35,35
BETANZOS,atencion de partos en servicios,vaginales,2013-01-01,29,29
BOLIVAR,atencion de partos en servicios,vaginales,2013-01-01,2,2
BOYUIBE,atencion de partos en servicios,vaginales,2013-01-01,6,6
CABEZAS,atencion de partos en servicios,vaginales,2013-01-01,33,33
CAIROMA,atencion de partos en servicios,vaginales,2013-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,vaginales,2013-01-01,2,2
CAJUATA,atencion de partos en servicios,vaginales,2013-01-01,13,13
CALAMARCA,atencion de partos en servicios,vaginales,2013-01-01,8,8
CAMARGO,atencion de partos en servicios,vaginales,2013-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2013-01-01,2,2
CAMIRI,atencion de partos en servicios,vaginales,2013-01-01,30,30
CAPINOTA,atencion de partos en servicios,vaginales,2013-01-01,19,19
CAQUIAVIRI,atencion de partos en servicios,vaginales,2013-01-01,5,5
CARACOLLO,atencion de partos en servicios,vaginales,2013-01-01,11,11
CARANAVI,atencion de partos en servicios,vaginales,2013-01-01,57,57
CARANGAS,atencion de partos en servicios,vaginales,2013-01-01,1,1
CARAPARI,atencion de partos en servicios,vaginales,2013-01-01,19,19
CARIPUYO,atencion de partos en servicios,vaginales,2013-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2013-01-01,4,4
CHALLAPATA,atencion de partos en servicios,vaginales,2013-01-01,36,36
CHAQUI,atencion de partos en servicios,vaginales,2013-01-01,8,8
CHARAGUA,atencion de partos en servicios,vaginales,2013-01-01,42,42
CHAYANTA,atencion de partos en servicios,vaginales,2013-01-01,10,10
CHIMORE,atencion de partos en servicios,vaginales,2013-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2013-01-01,13,13
CHUMA,atencion de partos en servicios,vaginales,2013-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2013-01-01,5,5
CKOCHAS,atencion de partos en servicios,vaginales,2013-01-01,4,4
CLIZA,atencion de partos en servicios,vaginales,2013-01-01,13,13
COBIJA,atencion de partos en servicios,vaginales,2013-01-01,96,96
COCAPATA,atencion de partos en servicios,vaginales,2013-01-01,6,6
COCHABAMBA,atencion de partos en servicios,vaginales,2013-01-01,846,846
COLCAPIRHUA,atencion de partos en servicios,vaginales,2013-01-01,35,35
"COLCHA ""K""",atencion de partos en servicios,vaginales,2013-01-01,1,1
COLOMI,atencion de partos en servicios,vaginales,2013-01-01,24,24
COLPA BELGICA,atencion de partos en servicios,vaginales,2013-01-01,1,1
