municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,3,3
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
CABEZAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,4,4
CAPINOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,3,3
CARANGAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
CARAPARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,2,2
CHAYANTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
CHIMORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
CLIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,9,9
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,98,98
COLQUENCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,2,2
COROICO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
COTAGAITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,2,2
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
DESAGUADERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,7,7
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,69,69
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
EXALTACION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,6,6
GUTIERREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,4,4
LA ASUNTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,2,2
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,152,152
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,3,3
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,9,9
OCURI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,2,2
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,15,15
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
PAMPA GRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,3,3
POJO (CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
POROMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
PORONGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,3,3
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,23,23
PUERTO ACOSTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,5,5
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,4,4
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2013-01-01,10,10
