municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,2,2
BATALLAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
CAQUIAVIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,3,3
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,9,9
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,9,9
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,20,20
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,3,3
MAPIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,11,11
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,4,4
PUNA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
QUIME,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,3,3
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
SAN ANDRES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2013-01-01,1,1
