municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,36,36
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,190,190
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,24,24
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,49,49
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,14,14
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,21,21
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,83,83
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,9,9
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,11,11
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,43,43
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,34,34
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,8,8
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,63,63
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,41,41
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,35,35
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,820,820
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,593,593
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,14,14
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,14,14
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,80,80
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,54,54
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,44,44
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,81,81
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,7,7
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,28,28
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,648,648
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,203,203
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,30,30
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,19,19
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,31,31
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,89,89
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,87,87
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,10,10
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,39,39
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,21,21
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,7,7
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,37,37
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,111,111
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,10,10
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,603,603
CAPINOTA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,90,90
CAQUIAVIRI,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,37,37
CARACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,107,107
CARANAVI,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,344,344
CARAPARI,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,61,61
CARIPUYO,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,37,37
CARMEN RIVERO TORREZ,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,22,22
CATACORA,otras actividades de enfermeria,curaciones y/o suturas,2005-01-01,1,1
