municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2005-01-01,14,14
ACHACACHI,otras actividades de enfermeria,sueros,2005-01-01,60,60
ACHOCALLA,otras actividades de enfermeria,sueros,2005-01-01,5,5
AIQUILE,otras actividades de enfermeria,sueros,2005-01-01,65,65
ALALAY,otras actividades de enfermeria,sueros,2005-01-01,5,5
ALCALA,otras actividades de enfermeria,sueros,2005-01-01,5,5
ANCORAIMES,otras actividades de enfermeria,sueros,2005-01-01,9,9
ANDAMARCA,otras actividades de enfermeria,sueros,2005-01-01,5,5
ANTEQUERA,otras actividades de enfermeria,sueros,2005-01-01,5,5
ANZALDO,otras actividades de enfermeria,sueros,2005-01-01,7,7
APOLO,otras actividades de enfermeria,sueros,2005-01-01,22,22
ARAMPAMPA,otras actividades de enfermeria,sueros,2005-01-01,9,9
ARANI,otras actividades de enfermeria,sueros,2005-01-01,5,5
ARBIETO,otras actividades de enfermeria,sueros,2005-01-01,9,9
ARQUE,otras actividades de enfermeria,sueros,2005-01-01,8,8
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2005-01-01,289,289
ATOCHA,otras actividades de enfermeria,sueros,2005-01-01,221,221
AUCAPATA,otras actividades de enfermeria,sueros,2005-01-01,8,8
AYATA,otras actividades de enfermeria,sueros,2005-01-01,5,5
AYO AYO,otras actividades de enfermeria,sueros,2005-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2005-01-01,37,37
AZURDUY,otras actividades de enfermeria,sueros,2005-01-01,31,31
BATALLAS,otras actividades de enfermeria,sueros,2005-01-01,5,5
BAURES,otras actividades de enfermeria,sueros,2005-01-01,16,16
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2005-01-01,3,3
BELLA FLOR,otras actividades de enfermeria,sueros,2005-01-01,18,18
BERMEJO,otras actividades de enfermeria,sueros,2005-01-01,643,643
BETANZOS,otras actividades de enfermeria,sueros,2005-01-01,92,92
BOLIVAR,otras actividades de enfermeria,sueros,2005-01-01,7,7
BOLPEBRA,otras actividades de enfermeria,sueros,2005-01-01,4,4
BOYUIBE,otras actividades de enfermeria,sueros,2005-01-01,23,23
BUENA VISTA,otras actividades de enfermeria,sueros,2005-01-01,56,56
CABEZAS,otras actividades de enfermeria,sueros,2005-01-01,77,77
CAIROMA,otras actividades de enfermeria,sueros,2005-01-01,14,14
"CAIZA ""D""",otras actividades de enfermeria,sueros,2005-01-01,21,21
CAJUATA,otras actividades de enfermeria,sueros,2005-01-01,13,13
CALACOTO,otras actividades de enfermeria,sueros,2005-01-01,1,1
CALAMARCA,otras actividades de enfermeria,sueros,2005-01-01,6,6
CAMARGO,otras actividades de enfermeria,sueros,2005-01-01,88,88
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2005-01-01,22,22
CAMIRI,otras actividades de enfermeria,sueros,2005-01-01,920,920
CAPINOTA,otras actividades de enfermeria,sueros,2005-01-01,5,5
CAQUIAVIRI,otras actividades de enfermeria,sueros,2005-01-01,12,12
CARACOLLO,otras actividades de enfermeria,sueros,2005-01-01,10,10
CARANAVI,otras actividades de enfermeria,sueros,2005-01-01,242,242
CARANGAS,otras actividades de enfermeria,sueros,2005-01-01,1,1
CARAPARI,otras actividades de enfermeria,sueros,2005-01-01,39,39
CARIPUYO,otras actividades de enfermeria,sueros,2005-01-01,13,13
