,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,4,6
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,2,4
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,5,5
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,26,26
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,20,0,20
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,1,2
BELLA FLOR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,1,1
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,21,4,25
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,0,1
CALAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,4,0,4
CAPINOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,0,1
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,0,5
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,3,4
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,17,0,17
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,39,20,59
COCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,2,4
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,102,0,102
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,11,4,15
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,23,34,57
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,57,7,64
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,3,0,3
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,15,1,16
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,1,3
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,6,11
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,0,1
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,2,7
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,11,3,14
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,0,5
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,46,0,46
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,0,2
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,21,0,21
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,0,5
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,7,7
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,18,4,22
MONTERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,45,0,45
MORO MORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,3,8
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,6,8
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,4,0,4
OMEREQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,3,18,21
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,129,1,130
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,7,3,10
PAZÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,11,11
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,4,10,14
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,4,4
POROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,2,4
PORONGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,0,1
PORVENIR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,4,1,5
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,23,2,25
PRESTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,2,4
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,0,5
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,12,8,20
PUNATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,24,0,24
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,6,14,20
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,3,0,3
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,3,0,3
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,29,6,35
SACABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,0,2
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,0,5
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,9,6,15
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,27,20,47
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,5,0,5
SAN JOAQUIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,1,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,10,0,10
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,1,1
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,3,5
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,11,0,11
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,0,2
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,2,3
SANTA ANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,350,61,411
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,0,2
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,10,11
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,30,0,30
TACOPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,3,12,15
TAPACARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,1,1
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,75,5,80
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,8,8
TOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,1,3
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,11,13
TOTORA(CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,4,4
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,23,50,73
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,3,0,3
UYUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,0,1
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,8,0,8
VILLA MONTES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,26,6,32
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,12,3,15
VINTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,0,2
VITICHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,5,5
