,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2024-01-01,1,1,3,6,1,0,1,10,2,6,0,0,0,0,31
ACHACACHI,atencion odontologica,cirugia bucal menor,2024-01-01,3,1,43,45,31,50,35,68,15,19,0,0,0,0,310
ACHOCALLA,atencion odontologica,cirugia bucal menor,2024-01-01,2,3,57,61,26,19,20,65,4,12,0,0,0,0,269
AIQUILE,atencion odontologica,cirugia bucal menor,2024-01-01,0,4,2,10,0,2,3,2,0,4,0,0,0,0,27
ALALAY,atencion odontologica,cirugia bucal menor,2024-01-01,0,0,1,1,0,1,3,4,2,0,0,0,0,0,12
ALCALA,atencion odontologica,cirugia bucal menor,2024-01-01,1,2,6,9,3,6,12,21,0,0,0,0,0,0,60
ALTO BENI,atencion odontologica,cirugia bucal menor,2024-01-01,0,3,15,17,7,5,7,28,7,2,0,0,0,0,91
ANCORAIMES,atencion odontologica,cirugia bucal menor,2024-01-01,0,1,21,12,9,22,13,36,15,17,0,0,0,0,146
ANDAMARCA,atencion odontologica,cirugia bucal menor,2024-01-01,2,2,7,16,4,7,7,5,3,6,0,0,0,0,59
ANTEQUERA,atencion odontologica,cirugia bucal menor,2024-01-01,0,0,4,4,2,1,0,3,0,0,0,0,0,0,14
ANZALDO,atencion odontologica,cirugia bucal menor,2024-01-01,0,1,5,4,1,2,1,8,3,7,0,0,0,0,32
APOLO,atencion odontologica,cirugia bucal menor,2024-01-01,0,1,12,12,3,4,4,17,10,7,0,0,0,0,70
