,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ANZALDO,atencion odontologica,cirugia bucomaxilofacial mediana,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CABEZAS,atencion odontologica,cirugia bucomaxilofacial mediana,2024-01-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2024-01-01,0,0,0,1,3,2,27,25,1,4,0,0,0,0,63
CORO CORO,atencion odontologica,cirugia bucomaxilofacial mediana,2024-01-01,0,0,13,10,2,0,0,0,0,1,0,0,0,0,26
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2024-01-01,0,0,7,4,2,1,7,13,10,2,0,0,0,0,46
MACHARETI,atencion odontologica,cirugia bucomaxilofacial mediana,2024-01-01,0,1,2,6,0,0,1,8,1,0,0,0,0,0,19
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2024-01-01,1,0,0,0,0,3,2,4,0,1,0,0,0,0,11
