,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2024-01-01,0,3,6,1,7,15,13,22,0,0,0,0,0,0,67
ACHACACHI,atencion odontologica,restauraciones,2024-01-01,35,19,151,192,158,122,115,176,15,16,0,0,0,0,999
ACHOCALLA,atencion odontologica,restauraciones,2024-01-01,20,46,89,142,69,96,34,84,2,6,0,0,0,0,588
AIQUILE,atencion odontologica,restauraciones,2024-01-01,0,1,43,52,74,86,109,113,12,5,0,0,0,0,495
ALALAY,atencion odontologica,restauraciones,2024-01-01,0,1,3,1,0,7,0,5,0,0,0,0,0,0,17
ALCALA,atencion odontologica,restauraciones,2024-01-01,5,2,19,24,15,40,53,62,0,1,0,0,0,0,221
ALTO BENI,atencion odontologica,restauraciones,2024-01-01,10,2,41,69,44,41,42,66,2,1,0,0,0,0,318
ANCORAIMES,atencion odontologica,restauraciones,2024-01-01,13,1,11,16,16,21,27,30,7,5,0,0,0,0,147
ANDAMARCA,atencion odontologica,restauraciones,2024-01-01,4,7,19,10,15,21,15,31,6,1,0,0,0,0,129
ANTEQUERA,atencion odontologica,restauraciones,2024-01-01,2,9,17,17,16,20,4,17,0,0,0,0,0,0,102
ANZALDO,atencion odontologica,restauraciones,2024-01-01,0,1,5,15,4,34,4,44,0,0,0,0,0,0,107
APOLO,atencion odontologica,restauraciones,2024-01-01,8,4,8,14,11,23,6,27,3,0,0,0,0,0,104
ARAMPAMPA,atencion odontologica,restauraciones,2024-01-01,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3
ARANI,atencion odontologica,restauraciones,2024-01-01,13,3,20,47,22,34,59,52,0,4,0,0,0,0,254
