,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,0,0,2,5,5,2,2,2,1,0,0,0,0,0,19
ANZALDO,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ARBIETO,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,0,0,21,3,0,0,0,0,0,0,0,0,0,0,24
BERMEJO,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,0,0,0,0,1,1,6,2,2,0,0,0,0,0,12
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,1,1,3,8,0,2,3,8,1,0,0,0,0,0,27
CARACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,2,0,5,6,1,5,1,7,0,0,0,0,0,0,27
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2024-01-01,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
