,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-01-01,0,0,3,7,12,6,13,18,4,9,0,0,0,0,72
HUANUNI,atencion odontologica,trat. de fracturas dentoalveolares,2024-01-01,0,0,2,1,1,1,1,0,0,0,0,0,0,0,6
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-01-01,4,3,7,6,4,0,24,41,3,2,0,0,0,0,94
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-01-01,0,0,2,2,1,6,13,15,2,1,0,0,0,0,42
PUNATA,atencion odontologica,trat. de fracturas dentoalveolares,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-01-01,0,0,0,0,1,2,8,11,10,5,0,0,0,0,37
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-01-01,0,0,0,0,1,0,0,3,1,0,0,0,0,0,5
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2024-01-01,0,0,0,0,0,0,2,4,1,1,0,0,0,0,8
CAPINOTA,atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,4
