,group,variable,month,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL POST,RAYOS X DENTAL POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,rayos x dental,2024-01-01,0,1,1,0,3,0,0,3,0,0,0,0,0,0,8
ACHACACHI,atencion odontologica,rayos x dental,2024-01-01,0,0,4,7,3,5,9,11,0,2,0,0,0,0,41
ACHOCALLA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,3,1,0,1,1,0,0,0,0,0,0,6
AIQUILE,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,0,2,3,7,0,0,0,0,0,0,14
ANTEQUERA,atencion odontologica,rayos x dental,2024-01-01,0,0,4,5,8,6,1,13,0,0,0,0,0,0,37
APOLO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4
ARANI,atencion odontologica,rayos x dental,2024-01-01,1,0,2,2,1,6,12,16,1,1,0,0,0,0,42
ARBIETO,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ATOCHA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,0,2,8,5,2,0,0,0,0,0,18
AYO AYO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,3,2,2,3,0,1,0,0,0,0,11
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,rayos x dental,2024-01-01,0,0,6,1,3,2,4,7,0,2,0,0,0,0,25
BELEN DE ANDAMARCA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BELEN DE URMIRI,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
