,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) POST,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,1,0,1,2,0,0,0,0,0,0,0,0,0,5
ACHOCALLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,3,4,0,4,0,0,0,0,0,0,0,0,0,13
AIQUILE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,3,0,3,0,0,0,1,0,0,0,0,8
ALCALA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,2,0,2,1,4,3,0,0,0,0,0,0,13
ALTO BENI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,1,4,2,0,0,1,0,0,0,0,0,0,9
ANZALDO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
ARANI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,4,2,1,4,2,0,1,0,0,0,0,15
