,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,endodoncia,2024-01-01,0,1,7,9,5,5,5,20,0,1,0,0,0,0,53
ACHOCALLA,atencion odontologica,endodoncia,2024-01-01,2,2,2,11,2,3,0,6,1,0,0,0,0,0,29
AIQUILE,atencion odontologica,endodoncia,2024-01-01,0,0,3,2,0,1,5,12,0,0,0,0,0,0,23
ALCALA,atencion odontologica,endodoncia,2024-01-01,0,0,0,0,0,0,1,5,0,0,0,0,0,0,6
ALTO BENI,atencion odontologica,endodoncia,2024-01-01,0,0,3,13,2,5,3,10,0,0,0,0,0,0,36
ANCORAIMES,atencion odontologica,endodoncia,2024-01-01,0,0,0,0,2,2,4,1,0,0,0,0,0,0,9
ANDAMARCA,atencion odontologica,endodoncia,2024-01-01,0,1,2,0,0,1,0,0,0,0,0,0,0,0,4
ANTEQUERA,atencion odontologica,endodoncia,2024-01-01,0,0,5,1,0,3,0,4,0,0,0,0,0,0,13
ANZALDO,atencion odontologica,endodoncia,2024-01-01,0,0,1,1,0,3,0,7,0,0,0,0,0,0,12
APOLO,atencion odontologica,endodoncia,2024-01-01,1,1,1,3,0,0,2,2,0,0,0,0,0,0,10
ARANI,atencion odontologica,endodoncia,2024-01-01,0,0,2,3,0,2,0,3,0,0,0,0,0,0,10
ARBIETO,atencion odontologica,endodoncia,2024-01-01,3,1,4,9,1,1,2,6,0,0,0,0,0,0,27
ARQUE,atencion odontologica,endodoncia,2024-01-01,0,0,1,1,0,2,1,5,0,1,0,0,0,0,11
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2024-01-01,0,3,10,16,1,15,4,31,3,1,0,0,0,0,84
