,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2024-01-01,5,5,13,10,6,5,27,29,10,11,0,1,0,1,123
ACHACACHI,atencion odontologica,primera consulta,2024-01-01,22,27,81,88,53,70,70,142,10,30,0,28,0,1,622
ACHOCALLA,atencion odontologica,primera consulta,2024-01-01,61,73,127,154,36,64,52,196,19,25,0,25,0,18,850
AIQUILE,atencion odontologica,primera consulta,2024-01-01,4,6,15,19,12,17,13,29,4,4,0,4,0,1,128
ALALAY,atencion odontologica,primera consulta,2024-01-01,0,1,2,1,0,4,3,5,1,0,0,0,0,1,18
ALCALA,atencion odontologica,primera consulta,2024-01-01,28,24,16,15,11,16,29,38,0,1,0,1,0,2,181
ALTO BENI,atencion odontologica,primera consulta,2024-01-01,26,23,54,67,21,29,34,85,18,4,0,5,0,0,366
ANCORAIMES,atencion odontologica,primera consulta,2024-01-01,14,8,21,20,16,21,29,59,17,14,0,0,0,2,221
ANDAMARCA,atencion odontologica,primera consulta,2024-01-01,4,8,16,20,10,13,19,26,19,21,0,2,0,0,158
ANTEQUERA,atencion odontologica,primera consulta,2024-01-01,1,3,7,11,7,6,3,13,0,0,0,2,0,0,53
ANZALDO,atencion odontologica,primera consulta,2024-01-01,0,3,6,10,4,11,7,25,1,6,0,0,0,4,77
APOLO,atencion odontologica,primera consulta,2024-01-01,9,9,24,34,12,24,12,43,8,3,0,3,0,3,184
ARAMPAMPA,atencion odontologica,primera consulta,2024-01-01,2,0,1,2,1,0,3,8,1,1,0,1,0,0,20
