,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2024-01-01,10,11,30,18,19,19,49,70,13,17,0,2,0,5,263
ACHACACHI,atencion odontologica,consulta nueva,2024-01-01,90,79,241,236,192,211,170,364,31,52,0,32,0,1,1699
ACHOCALLA,atencion odontologica,consulta nueva,2024-01-01,90,110,252,384,121,172,98,296,17,27,0,22,0,17,1606
AIQUILE,atencion odontologica,consulta nueva,2024-01-01,4,11,48,86,51,80,56,94,11,10,0,10,0,1,462
ALALAY,atencion odontologica,consulta nueva,2024-01-01,0,3,10,4,0,18,9,23,4,0,0,0,0,2,73
ALCALA,atencion odontologica,consulta nueva,2024-01-01,37,39,34,41,18,58,82,101,0,1,0,1,0,2,414
ALTO BENI,atencion odontologica,consulta nueva,2024-01-01,86,33,124,155,67,66,65,137,21,5,0,7,0,0,766
ANCORAIMES,atencion odontologica,consulta nueva,2024-01-01,19,9,32,31,27,45,46,82,24,24,0,1,0,2,342
ANDAMARCA,atencion odontologica,consulta nueva,2024-01-01,10,16,47,56,31,46,45,66,37,33,0,4,0,0,391
ANTEQUERA,atencion odontologica,consulta nueva,2024-01-01,9,25,57,75,77,56,12,52,0,0,0,3,0,0,366
ANZALDO,atencion odontologica,consulta nueva,2024-01-01,0,7,20,34,13,56,15,97,4,14,0,0,0,3,263
APOLO,atencion odontologica,consulta nueva,2024-01-01,10,12,34,45,20,39,19,64,14,7,0,1,0,2,267
ARAMPAMPA,atencion odontologica,consulta nueva,2024-01-01,3,0,2,3,1,0,4,34,0,1,0,0,0,0,48
