,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,0,0,7,6,0,0,0,0,0,0,13
ACHACACHI,atencion odontologica,periodoncia,2024-01-01,0,0,0,3,6,4,18,23,2,3,0,0,0,0,59
ACHOCALLA,atencion odontologica,periodoncia,2024-01-01,0,0,3,9,7,8,10,29,0,1,0,0,0,0,67
AIQUILE,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,1,1,8,11,0,1,0,0,0,0,22
ALALAY,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ALCALA,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,1,1,3,4,0,0,0,0,0,0,9
ALTO BENI,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,0,0,5,7,1,0,0,0,0,0,13
ANCORAIMES,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,0,0,2,10,0,1,0,0,0,0,13
ANDAMARCA,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,1,0,3,1,9,9,0,0,0,0,23
ANTEQUERA,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,5,6,2,9,0,0,0,0,0,0,22
ANZALDO,atencion odontologica,periodoncia,2024-01-01,0,0,1,0,2,3,2,9,0,0,0,0,0,0,17
APOLO,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,1,1,2,5,0,0,0,0,0,0,9
ARAMPAMPA,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
ARANI,atencion odontologica,periodoncia,2024-01-01,0,0,0,0,1,2,6,9,0,0,0,0,0,0,18
