,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2024-01-01,1,0,10,5,1,1,0,6,0,0,0,0,0,0,24
ACHACACHI,atencion odontologica,medidas preventivas,2024-01-01,46,41,54,35,10,22,9,25,1,3,0,0,0,0,246
ACHOCALLA,atencion odontologica,medidas preventivas,2024-01-01,64,56,101,157,24,42,25,101,10,9,0,0,0,0,589
AIQUILE,atencion odontologica,medidas preventivas,2024-01-01,6,9,74,119,50,119,73,104,11,10,0,0,0,0,575
ALALAY,atencion odontologica,medidas preventivas,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ALCALA,atencion odontologica,medidas preventivas,2024-01-01,18,21,9,5,3,5,7,8,0,0,0,0,0,0,76
ALTO BENI,atencion odontologica,medidas preventivas,2024-01-01,75,28,65,59,14,17,12,29,10,2,0,0,0,0,311
ANCORAIMES,atencion odontologica,medidas preventivas,2024-01-01,5,7,0,2,1,0,0,3,1,0,0,0,0,0,19
ANDAMARCA,atencion odontologica,medidas preventivas,2024-01-01,0,3,8,13,2,4,3,3,9,9,0,0,0,0,54
ANTEQUERA,atencion odontologica,medidas preventivas,2024-01-01,6,14,32,41,42,17,0,2,0,0,0,0,0,0,154
ANZALDO,atencion odontologica,medidas preventivas,2024-01-01,0,3,6,13,4,10,6,23,1,6,0,0,0,0,72
APOLO,atencion odontologica,medidas preventivas,2024-01-01,1,6,13,15,6,11,5,15,2,0,0,0,0,0,74
