,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2024-01-01,1,1,1,2,5,0,1,5,0,0,0,0,0,0,16
ACHACACHI,atencion odontologica,consulta repetida,2024-01-01,0,2,16,22,13,28,18,52,5,1,0,0,0,0,157
ACHOCALLA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,6,5,9,4,9,1,0,0,0,0,1,35
AIQUILE,atencion odontologica,consulta repetida,2024-01-01,0,0,3,3,0,4,7,20,0,0,0,0,0,0,37
ALALAY,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
ALCALA,atencion odontologica,consulta repetida,2024-01-01,0,0,9,1,1,8,10,26,0,0,0,0,0,0,55
ALTO BENI,atencion odontologica,consulta repetida,2024-01-01,1,0,1,2,0,6,4,5,0,0,0,0,0,0,19
ANDAMARCA,atencion odontologica,consulta repetida,2024-01-01,0,2,7,3,1,2,4,1,1,0,0,0,0,0,21
ANTEQUERA,atencion odontologica,consulta repetida,2024-01-01,0,3,13,5,3,13,4,17,0,0,0,0,0,0,58
ANZALDO,atencion odontologica,consulta repetida,2024-01-01,0,0,1,1,0,0,2,4,0,0,0,0,0,0,8
APOLO,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4
ARAMPAMPA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
ARANI,atencion odontologica,consulta repetida,2024-01-01,0,0,3,9,5,4,10,9,0,0,0,0,0,0,40
