,group,variable,month,TOTAL 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTAL 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,6,10
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,4,4
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,18,27,45
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,3,6
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,2,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,7,11
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,3,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,9,6,15
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,2,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,6,6,12
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,2,6
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,2,2
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,45,60,105
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,36,64,100
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,5,2,7
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,6,4,10
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,19,17,36
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,2,4
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,7,7
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,7,11
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,75,120,195
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,3,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,19,22
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,6,5,11
