,group,variable,month,TOTAL 16.4 CÁNCER OTROS CANTIDAD,TOTAL 16.4 CÁNCER OTROS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,2,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,7,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,108,115,223
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,8,16,24
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,47,42,89
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,16,5,21
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,6,5,11
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,2,2,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,2,1,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,18,18
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,2,0,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,2,0,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,154,168,322
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,3,0,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,0,1,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,1,0,1
