,group,variable,month,TOTAL 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTAL 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,2,0,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,0,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,0,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,4,1,5
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,6,4,10
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,3,6,9
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,5,5,10
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,2,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,7,8
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,5,2,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,49,53,102
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,4,1,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,27,42,69
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,0,4,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,102,152,254
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,2,0,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,2,4,6
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,2,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-01-01,1,0,1
