,group,variable,month,TOTAL 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTAL 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,1,2
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,2,0,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,2,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,4,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,3,2,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,4,8,12
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,3,6,9
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,2,2,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,63,106,169
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,2,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,45,44,89
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,2,8,10
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,87,177,264
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,4,5
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,5,5
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,2,3,5
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,18,31,49
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,1,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,2,3,5
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,2,1,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,3,3
