,group,variable,month,TOTAL 16.8 ABUSO DE ALCOHOL CANTIDAD,TOTAL 16.8 ABUSO DE ALCOHOL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,4,2,6
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,2,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,9,33,42
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,5,6,11
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,3,4
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,12,6,18
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,3,2,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,98,42,140
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,11,6,17
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,8,9,17
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,8,3,11
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,5,2,7
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,2,0,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,3,0,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,3,6,9
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,4,0,4
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,2,0,2
