,group,variable,month,TOTAL 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTAL 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,8,2,10
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,3,2,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,6,6,12
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,43,49,92
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,4,12,16
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,3,1,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,8,4,12
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,38,31,69
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,1,3,4
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,3,2,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-01-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,5,4,9
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,0,2,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,2,1,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,20,33,53
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,16,17,33
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,5,3,8
