,group,variable,month,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,2.0,3.0
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,7.0,10.0,17.0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,3.0,3.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,1.0,3.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,1.0,3.0
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,0.0,2.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,36.0,32.0,68.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,23.0,25.0
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,9.0,9.0,18.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,5.0,12.0,17.0
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,2.0,2.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,40.0,51.0,91.0
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,2.0,2.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,3.0,5.0
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,17.0,19.0
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,14.0,40.0,54.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,278.0,251.0,529.0
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,4.0,3.0,7.0
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,2.0,2.0
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,18.0,20.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,2.0,3.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,1.0,2.0
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,21.0,29.0,50.0
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,9.0,12.0
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
