,group,variable,month,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,7,10,17
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,17,21,38
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,4,6
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,7,13
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,7,8,15
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,0,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,1,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,14,18,32
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,12,7,19
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,1,3
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,20,11,31
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,12,18,30
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,13,16
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,19,29,48
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,27,67,94
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,2,3
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,7,11
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,6,8
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,33,39,72
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,13,19
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,19,27,46
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,2,3
CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,3,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,5,8
CHACARILLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,2,3
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,5,6
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,10,7,17
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,10,16
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,15,18
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,2,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,24,33
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,132,231,363
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,8,14
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,9,12
