,group,variable,month,TOTAL 16.9 HABITO DE FUMAR CANTIDAD,TOTAL 16.9 HABITO DE FUMAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,5,5,10
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,8,5,13
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,8,0,8
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,12,17,29
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,10,7,17
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,24,35,59
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,10,7,17
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,8,0,8
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,1,0,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,2,0,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,30,15,45
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,3,1,4
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,4,0,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,4,1,5
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-01-01,3,2,5
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,8,5,13
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,9,13,22
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,4,0,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,6,5,11
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,2,0,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,22,2,24
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,5,0,5
