,group,variable,month,TOTAL 16.1 CARDIOVASCULARES CANTIDAD,TOTAL 16.1 CARDIOVASCULARES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,2,4
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,6,6,12
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,1,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,21,26,47
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,13,34,47
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,6,7
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,6,3,9
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,3,1,4
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,9,10
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,52,32,84
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,1,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,2,4
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,5,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,23,33,56
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,5,7
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,1,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,10,9,19
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,11,5,16
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,5,4,9
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,318,241,559
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,3,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,31,31,62
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,2,3
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
