,group,variable,month,TOTAL 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTAL 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,57,84,141
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,2,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,16,17
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,3,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,34,65,99
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,4,11,15
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,2,0,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,5,8,13
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,32,44,76
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,92,523,615
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,2,2
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,6,13,19
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,8,9
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,100,500,600
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,8,8
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,5,5
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,193,775,968
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,4,6,10
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,5,4,9
