,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,3,0,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,7,1,8
SANTA ROSA DEL SARA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-01-01,0,2,2
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,2,2,4
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,3,1,4
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,3,3,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,8,4,12
TACOBAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-02-01,3,0,3
CHUMA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,3,0,3
COMARAPA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,5,1,6
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,0,1,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,0,1
ROBORE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,6,1,7
VINTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-03-01,1,0,1
AIQUILE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-04-01,1,0,1
BERMEJO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-04-01,5,0,5
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-04-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-04-01,3,1,4
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2019-04-01,1,0,1
