,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,4,1,5
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
CAMARGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,3,0,3
CAPINOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
CHARAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,14,16,30
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,3,3
COLPA BELGICA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
COLQUIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
COMARAPA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,33,14,47
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,3,4
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
GUTIERREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
INCAHUASI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,6,1,7
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,9,1,10
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,1,3
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
MIZQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,10,3,13
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,10,2,12
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,3,1,4
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
PUCARANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
