,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-01-01,1.0,0.0,1.0
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-01-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-02-01,1.0,0.0,1.0
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-03-01,1.0,0.0,1.0
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-03-01,0.0,1.0,1.0
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-04-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-04-01,0.0,0.0,0.0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-04-01,0.0,1.0,1.0
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-04-01,1.0,0.0,1.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-05-01,1.0,1.0,2.0
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-05-01,1.0,0.0,1.0
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-05-01,1.0,0.0,1.0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-06-01,0.0,0.0,0.0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-06-01,0.0,1.0,1.0
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-06-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-07-01,0.0,0.0,0.0
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-07-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-07-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-08-01,0.0,0.0,0.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-11-01,0.0,0.0,0.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-12-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2019-12-01,0.0,1.0,1.0
