,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-02-01,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-02-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-03-01,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-03-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-04-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-04-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-05-01,1.0,0.0,1.0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-06-01,0.0,0.0,0.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-07-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-07-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-07-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-08-01,1.0,1.0,2.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-08-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-08-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-09-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-09-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-09-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-10-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-10-01,1.0,1.0,2.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-11-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-11-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-11-01,1.0,1.0,2.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-12-01,1.0,1.0,2.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2019-12-01,0.0,0.0,0.0
