,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,3,3,6
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,2,0,2
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
CALACOTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,1,1
CALAMARCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,2,3
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,3,0,3
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,1,2
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,2,2,4
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,1,2
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,4,0,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,16,10,26
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,2,2
COLPA BELGICA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
COMARAPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,1,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,1,1
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,21,8,29
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,1,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,3,4
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,6,0,6
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,23,14,37
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,1,2
MAIRANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,2,2
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,0,1,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,10,2,12
OCURI,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2019-01-01,7,3,10
