,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,0,1,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,0,1,1
LORETO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,0,1,1
MALLA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,2,0,2
REYES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,1,0,1
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-01-01,1,0,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-02-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-02-01,1,0,1
LORETO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-02-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-02-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-02-01,1,0,1
UMALA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-02-01,1,0,1
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-02-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,3,1,4
LORETO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-03-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,2,0,2
LORETO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-04-01,1,0,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-05-01,1,0,1
LORETO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-05-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-05-01,2,0,2
PAZÑA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-05-01,1,0,1
