,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-01-01,0,1,1
MINEROS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-01-01,3,0,3
TARIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-01-01,1,0,1
CHIMORE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-02-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-02-01,1,1,2
POTOSI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-02-01,3,3,6
TIQUIPAYA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-02-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-03-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-03-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-03-01,2,0,2
SHINAOTA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-04-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-04-01,0,2,2
SAN JULIAN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-04-01,3,7,10
CARANAVI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-05-01,0,2,2
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-05-01,5,7,12
SOPACHUY,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-05-01,1,0,1
TUPIZA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-06-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-06-01,1,1,2
MOCOMOCO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-06-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-06-01,4,5,9
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-07-01,0,2,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-07-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-07-01,4,5,9
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-08-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-08-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-08-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-08-01,2,5,7
TUPIZA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-08-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-08-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-09-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-09-01,0,0,0
