,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
APOLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
AYATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,2,2
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,3,16,19
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,1,1
COLLANA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
COLQUIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,3,0,3
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,12,7,19
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,2,1,3
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,20,18,38
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,2,1,3
PATACAMAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,1,2
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,4,4
SAN ANDRES DE MACHACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,1,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,18,11,29
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,2,2
TACOBAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,3,1,4
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,2,0,2
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2019-01-01,1,0,1
