,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,2,2
BUENA VISTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,1,1
CALACOTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,1,1
CALAMARCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,2,2
CAPINOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,2,3
COLCAPIRHUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,2,2
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,9,3,12
EL PUENTE(STC),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,2,2
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,3,1,4
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,5,2,7
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,2,3
MAIRANA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,2,2
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
PAILON,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,1,1
PATACAMAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
POTOSI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
PUCARANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,3,1,4
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,2,3
SAN BUENA VENTURA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,2,2
SAN PEDRO(PND),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,22,14,36
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,1,1
TEOPONTE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,2,2
VALLEGRANDE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
VINTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2019-01-01,1,0,1
