,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ALCALA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-01-01,1,1,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-01-01,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-02-01,4,0,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-02-01,2,1,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-03-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-04-01,5,0,5
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-04-01,5,0,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-04-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-06-01,2,1,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-06-01,2,1,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-07-01,3,4,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-07-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-08-01,1,4,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-08-01,0,0,0
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-08-01,3,2,5
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-09-01,5,0,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-09-01,0,0,0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-09-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-10-01,0,0,0
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-10-01,2,3,5
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-11-01,3,0,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-11-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-12-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-12-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-12-01,15,3,18
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2019-12-01,3,1,4
