,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,1,2
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,9,3,12
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,2,2,4
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,6,9,15
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,3,0,3
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,2,2,4
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,2,2,4
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,2,1,3
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,1,2
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,2,3
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,3,3,6
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,4,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,5,8,13
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,2,0,2
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,1,2
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,6,5,11
AYO AYO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,11,5,16
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,2,4,6
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,0,1,1
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,4,2,6
BELLA FLOR,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,0,1,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,13,7,20
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,7,1,8
BOLPEBRA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,10,15,25
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,6,7,13
CAIROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,2,3
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,1,2
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,0,3,3
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,4,5
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,8,8,16
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,2,3
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,14,13,27
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,6,6,12
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,3,4,7
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,42,36,78
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,12,4,16
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,0,3,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,2,4,6
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,7,5,12
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,1,1,2
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2019-01-01,3,3,6
