,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,4,3,7
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,0,2
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,1,3
CALACOTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,0,3
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,4,6
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,4,0,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,16,19,35
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,3,3
COLLANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,1,4
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,37,16,53
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,2,5
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,0,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,0,2
ICLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,3,5
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,8,1,9
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,40,32,72
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,1,3
