,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,5,6,11
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
CKOCHAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,7,1,8
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
COLLANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,2,0,2
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,4,0,4
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,6,4,10
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,2,4,6
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,5,0,5
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,0,1,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,2,0,2
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,3,1,4
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,5,3,8
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,1,2
MACHARETI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
MAIRANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,0,1,1
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
MOCOMOCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,2,0,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,8,4,12
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
PORVENIR,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,4,3,7
QUIABAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2019-01-01,5,3,8
