,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CABEZAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,0,2,2
CAJUATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,2,2,4
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,5,3,8
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,1,1,2
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,1,2,3
PUCARANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,0,1,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,2,3,5
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-01-01,0,1,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,10,3,13
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,1,1,2
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,3,0,3
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,4,2,6
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,3,0,3
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,1,0,1
YAMPARAEZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,1,1,2
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,0,1,1
COLQUECHACA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,2,2,4
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,3,2,5
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,1,0,1
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,2,2,4
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,6,1,7
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,0,1,1
PRESTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,2,0,2
SAN MATIAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,0,1,1
TOMAVE,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-03-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-04-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2019-04-01,0,1,1
