,group,variable,month,DPT 2DA DOSIS,DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,1,1,1,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,7,0,7,0,7
ARQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,18,0,18,0,18
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,11,0,11,0,11
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,19,1,19,1,20
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,2,1,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,29,0,29,0,29
LLICA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,2,0,2,0,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,3,0,3,0,3
PAZÑA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,18,0,18,0,18
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,0,1,0,1,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,2,2,2,2,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,14,3,14,3,17
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,0,1,0,1,1
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,1,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,88,0,88,0,88
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,3,0,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,4,0,4,0,4
TAPACARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,1,1,1,2
TARATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,4,0,4,0,4
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,0,4,0,4,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,5,0,5,0,5
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,1,1,1,1,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-01-01,9,0,9,0,9
ANZALDO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,5,25,5,25,30
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,4,0,4,4
CAIROMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,4,0,4,0,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,9,2,9,2,11
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,11,1,11,1,12
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,10,0,10,0,10
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,4,0,4,0,4
PALCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,5,0,5,5
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,8,0,8,8
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,5,0,5,5
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,4,5,4,5,9
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,4,1,4,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,0,5,0,5,5
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,26,31,26,31,57
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,6,1,6,1,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,7,0,7,0,7
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,3,11,3,11,14
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-02-01,2,1,2,1,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,2,2,2,2,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,4,0,4,4
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,3,0,3,3
