,group,variable,month,ANTI AMARÍLICA,ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,0,10,0,10
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,0,6,0,6
AIQUILE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,41,6,41,6,47
ALALAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,8,0,8,8
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,6,8,6,14
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,8,0,8,8
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,0,4,0,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,6,0,6,6
APOLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,29,14,29,14,43
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,2,4,2,6
ARANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,2,4,2,6
ARBIETO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,15,18,15,18,33
ARQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,0,5,0,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,20,10,20,10,30
AYATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,16,4,16,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,17,18,17,18,35
AZURDUY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,4,0,4,4
BAURES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,7,0,7,0,7
BERMEJO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,42,11,42,11,53
BETANZOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,11,0,11,11
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,27,0,27,27
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,13,13,13,13,26
CABEZAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,30,3,30,33
CAIROMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,3,2,3,5
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,0,4,0,4
CAJUATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,7,4,7,4,11
CAMARGO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,20,5,20,5,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,37,13,37,13,50
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,44,0,44,0,44
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,28,15,28,15,43
CARANAVI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,48,14,48,14,62
CARAPARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,18,2,18,20
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,11,3,11,14
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,6,5,6,11
CATACORA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,8,2,8,10
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,59,12,59,12,71
CHAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,7,2,7,9
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,30,32,30,32,62
CHIMORE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,36,8,36,8,44
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,6,1,6,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,26,10,26,36
CHUMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,12,0,12,0,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,2,0,2,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,12,0,12,12
CLIZA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,34,9,34,9,43
COBIJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,70,40,70,40,110
COCAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,20,4,20,24
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1448,0,1448,0,1448
COIPASA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,1,1,1,2
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,3,8,3,11
COLOMI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,19,17,19,17,36
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,7,16,7,16,23
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,15,4,15,19
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,11,14,11,14,25
COMANCHE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,4,0,4,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,8,8,8,16
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,28,0,28,0,28
CORIPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,20,7,20,7,27
CORO CORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,8,1,8,9
COROICO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,19,6,19,25
CORQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,0,3,0,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,8,8,8,16
COTOCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,95,19,95,19,114
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,21,30,21,30,51
CUEVO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,7,1,7,8
CULPINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,10,6,10,16
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,17,8,17,8,25
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,9,0,9,9
EL ALTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,970,21,970,21,991
EL CHORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,8,0,8,8
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,6,8,6,14
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,0,5,0,5
EL TORNO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,84,19,84,19,103
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,0,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,12,9,12,9,21
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,71,15,71,15,86
ESCOMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,2,8,2,10
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,6,8,6,14
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,3,0,3,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,9,3,9,3,12
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,11,0,11,11
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,18,6,18,6,24
GUANAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,7,24,7,24,31
GUAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,3,2,3,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,17,20,17,20,37
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,10,0,10,10
HUACARETA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,7,5,7,5,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,1,6,1,7
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,56,2,56,2,58
HUARINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,7,1,7,8
