,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS,ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,5,0,5,0,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,2,2,2,2,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,19,0,19,0,19
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,23,4,23,4,27
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,8,1,8,1,9
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,7,0,7,0,7
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,2,0,2,0,2
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,11,0,11,0,11
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,2,0,2,0,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,7,1,7,8
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,53,0,53,0,53
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,2,1,2,1,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
TACACOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,2,1,2,1,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,7,0,7,0,7
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,1,1,1,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-01-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,3,0,3,0,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,3,0,3,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,14,2,14,2,16
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,1,1,1,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,24,3,24,3,27
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,2,1,2,1,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,14,0,14,0,14
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,1,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,2,1,2,1,3
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,14,2,14,2,16
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,4,0,4,0,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,8,3,8,3,11
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,5,0,5,5
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,49,36,49,36,85
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2011-02-01,0,3,0,3,3
