,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS,ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,1,0,1,1
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
ARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,2,0,2,0,2
ARQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,3,0,3,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,10,0,10,0,10
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,2,0,2,0,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,6,0,6,0,6
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,49,0,49,0,49
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,12,0,12,0,12
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,25,2,25,2,27
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,16,3,16,3,19
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,3,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,8,4,8,4,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,28,2,28,2,30
LLICA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,5,0,5,0,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,27,1,27,1,28
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,1,0,1,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,2,0,2,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,6,0,6,0,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,8,1,8,1,9
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,12,0,12,0,12
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,6,1,6,7
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,2,1,2,1,3
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,5,1,5,1,6
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,9,0,9,0,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,2,0,2,0,2
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,173,0,173,0,173
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,10,0,10,0,10
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,5,1,5,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,4,0,4,0,4
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,2,3,2,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,4,4,4,4,8
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,9,0,9,0,9
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,4,0,4,0,4
TOLATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,3,0,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,11,0,11,11
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,4,2,4,2,6
VITICHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,0,4,0,4,4
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-01-01,1,6,1,6,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,0,5,0,5,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,0,3,0,3,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,3,0,3,0,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,1,0,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,4,0,4,0,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,1,1,1,1,2
CHUMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,0,4,0,4,4
CLIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,0,3,0,3,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,6,0,6,0,6
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,25,0,25,0,25
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,1,0,1,0,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2011-02-01,22,0,22,0,22
