,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,5,4,5,9
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,58,13,58,13,71
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,10,15,10,25
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,53,11,53,11,64
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,6,5,6,5,11
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,8,15,8,23
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,9,7,9,7,16
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,3,2,3,5
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,0,3,0,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,11,5,11,16
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,35,19,35,19,54
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,3,4,3,7
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,13,16,13,16,29
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,14,18,14,18,32
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,16,0,16,0,16
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,36,2,36,2,38
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,5,3,5,8
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,0,2,0,2
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,9,9,9,9,18
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,9,5,9,5,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,26,31,26,31,57
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,9,5,9,14
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,20,2,20,2,22
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,7,0,7,0,7
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,51,15,51,15,66
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,28,28,28,28,56
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,25,5,25,30
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,0,2,0,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,9,13,9,13,22
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,17,7,17,7,24
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,4,2,4,6
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,7,6,7,6,13
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,9,3,9,3,12
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,3,0,3,3
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,10,10,10,10,20
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,25,8,25,8,33
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,1,3,1,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,55,10,55,10,65
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,36,0,36,0,36
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,0,4,0,4
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,17,15,17,15,32
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,66,16,66,16,82
CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,3,0,3,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,4,15,4,19
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,12,3,12,15
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,5,5,5,10
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,4,1,4,5
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,43,15,43,15,58
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,8,3,8,11
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,19,20,19,20,39
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,13,8,13,21
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,33,5,33,5,38
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,3,3,3,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,10,21,10,21,31
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,14,1,14,1,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,6,15,6,21
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,10,15,10,15,25
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,22,14,22,14,36
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,70,20,70,20,90
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,20,1,20,21
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1366,1,1366,1,1367
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,77,0,77,0,77
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,16,1,16,1,17
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,0,4,0,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,36,7,36,7,43
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,10,8,10,18
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,21,53,21,53,74
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,7,1,7,1,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,13,24,13,24,37
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,4,1,4,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,17,7,17,7,24
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,23,0,23,0,23
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,14,16,14,16,30
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,12,2,12,2,14
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,12,1,12,13
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,10,11,10,11,21
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,1,8,1,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,14,15,14,29
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,109,15,109,15,124
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,20,15,20,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,0,3,0,3
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,7,4,7,11
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,13,9,13,9,22
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,6,3,6,3,9
CURVA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,3,0,3,3
