,group,variable,month,DPT 4TA DOSIS,DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,2,0,2,0,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,6,0,6,0,6
ALCALA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,14,0,14,0,14
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,4,5,4,5,9
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,29,0,29,0,29
CARANGAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,3,0,3,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,7,2,7,2,9
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,33,0,33,0,33
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,281,3,281,3,284
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,7,0,7,0,7
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,24,0,24,24
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,13,3,13,3,16
COMANCHE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,15,0,15,0,15
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,2,4,2,4,6
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,19,0,19,0,19
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,235,7,235,7,242
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,45,0,45,0,45
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,3,0,3,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,1,0,1,1
GUAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,37,3,37,3,40
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,9,0,9,0,9
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,3,1,3,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,5,5,5,5,10
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,2,3,2,3,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,59,15,59,15,74
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,3,0,3,0,3
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,3,0,3,0,3
MAIRANA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,13,0,13,0,13
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,6,1,6,1,7
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,10,0,10,0,10
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,3,1,3,4
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,76,0,76,0,76
PADILLA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,1,1,1,2
POCOATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,11,0,11,11
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,7,5,7,5,12
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,7,0,7,0,7
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,73,0,73,0,73
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,17,0,17,0,17
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,8,0,8,0,8
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,19,7,19,7,26
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,21,0,21,21
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,6,0,6,0,6
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,16,0,16,0,16
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,1,0,1,1
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,3,0,3,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,29,2,29,2,31
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,20,0,20,0,20
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,19,0,19,0,19
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,2,0,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,4,9,4,9,13
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,5,0,5,0,5
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,2,0,2,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,3,0,3,3
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,11,0,11,0,11
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,387,10,387,10,397
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,7,0,7,0,7
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,10,0,10,10
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,9,3,9,3,12
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,11,1,11,1,12
SORATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,20,0,20,0,20
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,53,2,53,2,55
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,2,1,2,1,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,8,1,8,9
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,119,8,119,8,127
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,3,1,3,4
TRIGAL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,16,0,16,0,16
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,9,5,9,5,14
