,group,variable,month,DPT 3RA DOSIS,DPT 3RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,5,0,5,0,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,27,0,27,0,27
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,23,4,23,4,27
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,14,6,14,6,20
MACHARETI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,7,0,7,0,7
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,9,0,9,0,9
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,3,1,3,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,0,3,0,3,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,1,1,1,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,8,2,8,10
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,63,0,63,0,63
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,3,0,3,0,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,9,0,9,0,9
TACACOMA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,1,1,1,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,6,0,6,0,6
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,4,1,4,1,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-01-01,2,0,2,0,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,2,0,2,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,17,0,17,17
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,6,0,6,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,3,0,3,0,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,12,3,12,3,15
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,1,1,1,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,29,3,29,3,32
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,14,0,14,0,14
MAPIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,1,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,2,1,2,1,3
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,20,2,20,2,22
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,4,0,4,0,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,3,0,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,6,0,6,0,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,2,0,2,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,2,0,2,0,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,7,0,7,7
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,46,32,46,32,78
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,1,0,1,1
