,group,variable,month,DPT 1RA DOSIS,DPT 1RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
ARANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
AYATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,3,0,3,3
BATALLAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,32,0,32,0,32
BETANZOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,3,2,3,5
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,10,0,10,0,10
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,62,0,62,0,62
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,5,0,5,0,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,3,0,3,0,3
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,1,2,1,3
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,0,2,0,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,12,0,12,0,12
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,7,2,7,9
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,51,2,51,2,53
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,16,3,16,3,19
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,3,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,8,4,8,4,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,1,1,1,2
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,3,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,8,0,8,0,8
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,89,13,89,13,102
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,1,0,1,1
LLICA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,5,0,5,0,5
LURIBAY,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,0,2,0,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,30,1,30,1,31
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,3,1,3,4
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,1,0,1,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,1,0,1,1
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,3,0,3,0,3
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,4,0,4,0,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,6,1,6,1,7
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,8,1,8,1,9
PUNA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,10,5,10,5,15
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,4,0,4,0,4
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,3,6,3,6,9
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,14,0,14,0,14
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,6,5,6,5,11
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,1,2,1,3
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,5,0,5,0,5
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,5,13,5,13,18
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,0,2,0,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,5,0,5,5
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,13,0,13,0,13
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,210,0,210,0,210
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,3,0,3,0,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,10,0,10,0,10
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,5,4,5,4,9
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,5,1,5,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,12,0,12,0,12
TAPACARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,2,4,2,4,6
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,3,0,3,0,3
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,4,4,4,4,8
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,9,1,9,1,10
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,0,1,0,1,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,3,0,3,0,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,5,0,5,0,5
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,11,1,11,12
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,9,1,9,10
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,30,300,30,300,330
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,5,0,5,0,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,4,2,4,2,6
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,23,0,23,0,23
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-01-01,1,1,1,1,2
