,group,variable,month,DÍAS CAMAS OCUPADAS MATERNIDAD CANTIDAD,DÍAS CAMAS OCUPADAS MATERNIDAD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-01-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-02-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-03-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-04-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-05-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-06-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-07-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-08-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-09-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-10-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-11-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2011-12-01,0,0,0,0,0
