,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,2,10,2,10,12
ANCORAIMES,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,1,16,1,16,17
AYATA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,2,2,2,2,4
BAURES,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,1,0,1,0,1
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,5,6,5,6,11
BETANZOS,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,1,0,1,1
BOYUIBE,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,1,0,1,1
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,1,0,1,0,1
CABEZAS,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,3,0,3,3
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,2,0,2,0,2
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,1,0,1,0,1
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,100,124,100,124,224
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,3,23,3,23,26
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,2,0,2,2
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,2,4,2,4,6
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,17,67,17,67,84
COCAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,1,0,1,1
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,31,272,31,272,303
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,2,0,2,0,2
COLQUECHACA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,1,0,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,1,7,1,7,8
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,3,2,3,2,5
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,4,11,4,11,15
COTAGAITA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,1,2,1,2,3
COTOCA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,1,0,1,1
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,11,0,11,11
CUEVO,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,1,2,1,2,3
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,3,11,3,11,14
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,44,228,44,228,272
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,1,0,1,1
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,3,6,3,6,9
GENERAL SAAVEDRA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,1,2,1,2,3
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,2,43,2,43,45
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,6,7,6,7,13
ICLA,internaciones,ingresos referidos de otros establecimientos de salud,2011-01-01,0,1,0,1,1
