,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,1,1,1,2,2,4
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,3,0,1,0,4,0,4
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,1,0,2,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,3,1,5,2,8,10
CARAPARI,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,0,0,1,0,1
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,4,2,2,1,6,3,9
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,2,2,0,3,2,5
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,4,0,7,0,11,0,11
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,1,1,2,1,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,2,1,0,1,2,2,4
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,1,12,3,13,4,17
LA PAZ,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,0,0,1,0,1
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,0,1,0,1,0,2,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,7,2,4,3,11,5,16
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,2,0,2,0,4,0,4
