,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-01-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-01-01,0,0,0,1,0,1,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-01-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-02-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-02-01,1,0,1,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-02-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-03-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-03-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-03-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-04-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-04-01,0,0,2,0,2,0,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-04-01,16,7,15,7,31,14,45
ALCALA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-05-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-05-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-05-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-05-01,1,0,0,0,1,0,1
