,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,1,0,1,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,0,0,1,0,1,0,1
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,1,0,1,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,1,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2017-01-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2017-02-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-02-01,1,2,0,0,1,2,3
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2017-02-01,0,1,0,0,0,1,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2017-02-01,2,1,1,0,3,1,4
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2017-02-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2017-02-01,2,0,2,0,4,0,4
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2017-03-01,0,1,0,0,0,1,1
GUANAY,leishmaniasis,tratamientos de leishmania mucosa,2017-03-01,1,0,0,0,1,0,1
