,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BATALLAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-01-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-01-01,0,1,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-01-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-01-01,2,12,0,0,2,12,14
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-01-01,0,3,0,0,0,3,3
COPACABANA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-02-01,0,0,0,2,0,2,2
COTAGAITA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-02-01,0,0,2,0,2,0,2
CUEVO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-02-01,1,0,0,0,1,0,1
INQUISIVI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-02-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-02-01,5,8,0,0,5,8,13
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-02-01,0,1,0,0,0,1,1
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-02-01,0,0,10,14,10,14,24
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-02-01,0,1,0,0,0,1,1
