,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AYATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,2,6,0,0,2,6,8
BELEN DE ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,1,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,0,3,0,0,0,3,3
CABEZAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,2,2,0,0,2,2,4
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,0,0,1,1,1,1,2
COBIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,4,3,0,0,4,3,7
COCHABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,14,26,0,0,14,26,40
COLQUENCHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,1,4,0,0,1,4,5
COROICO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,0,3,0,0,0,3,3
EL ALTO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,16,34,0,0,16,34,50
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,4,3,0,0,4,3,7
HUACARETA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2016-01-01,0,4,0,0,0,4,4
