,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-01-01,0,0,1,2,1,2,3
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-01-01,0,0,0,1,0,1,1
CORIPATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-01-01,2,4,0,0,2,4,6
LA ASUNTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-01-01,1,2,0,0,1,2,3
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-01-01,16,27,0,0,16,27,43
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-01-01,0,6,0,0,0,6,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-01-01,0,2,0,0,0,2,2
VALLEGRANDE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-01-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-02-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-02-01,0,1,0,0,0,1,1
MECAPACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-02-01,0,3,0,0,0,3,3
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-02-01,2,1,0,0,2,1,3
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2016-02-01,0,1,0,0,0,1,1
