,group,variable,month,DT 4TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 10 A 49 AÑOS FUERA,DT 4TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,3,0,9,0,12,12
ACHOCALLA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,1,1,0,1,1,2
AIQUILE,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,4,4,0,0,4,4,8
ALTO BENI,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,0,2,5,2,5,7
ANCORAIMES,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,1,0,3,3
ANDAMARCA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
ANTEQUERA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,0,8,0,8,0,8
ANZALDO,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,5,0,5,5
ARAMPAMPA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
ARANI,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,2,1,2,1,4,5
ARBIETO,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,1,3,1,7,2,10,12
ARQUE,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,1,5,0,2,1,7,8
ASCENCION DE GUARAYOS,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,1,11,0,1,1,12,13
ATOCHA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
AYATA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2016-01-01,2,2,3,4,5,6,11
