,group,variable,month,DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,3,1,0,1,3,4
AIQUILE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
ALTO BENI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,2,4,2,6,8
ANCORAIMES,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,4,0,4,4
APOLO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
ARAMPAMPA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,1,2,1,2,3
ARANI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,4,0,0,0,4,4
ARBIETO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,1,0,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,7,0,2,0,9,9
AYATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,1,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,25,19,25,19,44
BELEN DE ANDAMARCA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,0,1,1,1,2
BERMEJO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,1,0,0,2,1,3
